,,,climate change,Immigration,Gun Control,Healthcare,Tax Level,Regulation,Trade
Alaska, At-Large ,1,,,,,,,
Arizona, Phoenix ,5,,,,,,,
Arizona, Southern Arizona ,2,,,,,,,
Arizona, Northern Arizona ,2,,,,,,,
Arkansas, At-Large ,4,,,,,,,
California, San Diego ,5,,,,,,,
California, Orange County and the Inland Empire ,7,,,,,,,
California, Los Angeles ,15,,,,,,,
California, Central Coast ,4,,,,,,,
California, Bay Area ,8,,,,,,,
California, Central Valley ,8,,,,,,,
California, Northern California and the Sierras ,6,,,,,,,
Colorado, Denver and the Northern Front Range ,4,,,,,,,
Colorado, The Rest of Colorado ,3,,,,,,,
Connecticut, New York Suburbs ,2,,,,,,,
Connecticut, North-East Connecticut ,3,,,,,,,
Florida, The Panhandle ,4,,,,,,,
Florida, Jacksonville and Daytona Beach ,3,,,,,,,
Florida, Orlando and the mid-coast ,4,,,,,,,
Florida, Tampa and St. Petersburg ,5,,,,,,,
Florida, Miami and West Palm Beach ,7,,,,,,,
Florida, Southwest Florida ,4,,,,,,,
Georgia, Atlanta ,6,,,,,,,
Georgia, Northern Georgia ,4,,,,,,,
Georgia, Southern Georgia ,4,,,,,,,
Hawaii, At-Large ,2,,,,,,,
Idaho, At-Large ,2,,,,,,,
Illinois, Chicago ,4,,,,,,,
Illinois, Chicago Suburbs ,8,,,,,,,
Illinois, Southern Illinois ,3,,,,,,,
Illinois, Northern Illinois ,3,,,,,,,
Iowa, At-Large ,4,,,,,,,
Kansas, At-Large ,4,,,,,,,
Kentucky, Louisville and Lexington ,3,,,,,,,
Kentucky, Southern Kentucky ,3,,,,,,,
Delaware, At-Large ,1,,,,,,,
Louisiana, North and Western Louisiana ,3,,,,,,,
Louisiana, New Orleans ,3,,,,,,,
Maryland, Balitmore ,3,,,,,,,
Maryland, DC Suburbs and Annapolis ,2,,,,,,,
Maryland, Northern Maryland ,3,,,,,,,
Massachusetts, Boston ,4,,,,,,,
Massachusetts, Southeast Massachusetts ,3,,,,,,,
Massachusetts, Western Massachusetts ,3,,,,,,,
Michigan, Detroit ,5,,,,,,,
Michigan, Southwest Michigan ,4,,,,,,,
Michigan, Central Michigan ,4,,,,,,,
Michigan, Northern Michigan ,1,,,,,,,
Minnesota, Twin Cities ,4,,,,,,,
Minnesota, Southern Minnesota ,2,,,,,,,
Minnesota, Northern Minnesota ,2,,,,,,,
Mississippi, At-Large ,4,,,,,,,
Missouri, Kansas City and Northern Missouri ,2,,,,,,,
Missouri, Southern Missouri ,3,,,,,,,
Missouri, St. Louis ,3,,,,,,,
Montana, At-Large ,1,,,,,,,
Nebraska, At-Large ,3,,,,,,,
Nevada, At-Large ,4,,,,,,,
New Hampshire, At-Large ,2,,,,,,,
New Jersey, Newark ,5,,,,,,,
New Jersey, Cental New Jersey ,4,,,,,,,
New Jersey, Southern New Jersey ,3,,,,,,,
New Mexico, At-Large ,3,,,,,,,
New York, New York ,11,,,,,,,
New York, Long Island ,4,,,,,,,
New York, Hudson Valley ,5,,,,,,,
New York, Upstate ,4,,,,,,,
New York, Buffalo and Rochester ,3,,,,,,,
North Carolina, Western North Carolina ,3,,,,,,,
North Carolina, Raleigh-Durham ,4,,,,,,,
North Carolina, Charlotte ,3,,,,,,,
North Carolina, The Coast ,3,,,,,,,
North Dakota, At-Large ,1,,,,,,,
Ohio, Toledo and the Northwest ,3,,,,,,,
Ohio, Cleveland and the Northeast ,5,,,,,,,
Ohio, Columbus and the Southeast ,4,,,,,,,
Ohio, Cincinnati and Dayton ,4,,,,,,,
Pennsylvania, Central Pennsylvania ,4,,,,,,,
Pennsylvania, Philadelphia ,6,,,,,,,
Pennsylvania, Pittsburg ,4,,,,,,,
Pennsylvania, Northeast Pennsylvania ,4,,,,,,,
Rhode Island, At-Large ,2,,,,,,,
South Carolina, Inland South Carolina ,4,,,,,,,
South Carolina, Coastal South Carolina ,3,,,,,,,
South Dakota, At-Large ,1,,,,,,,
Texas, West Texas ,5,,,,,,,
Texas, South Texas ,4,,,,,,,
Texas, East Texas ,6,,,,,,,
Texas, Houston ,8,,,,,,,
Texas, Dallas-Fort Worth ,8,,,,,,,
Texas, San Antonio and Austin ,5,,,,,,,
Utah, At-Large ,4,,,,,,,
Vermont, At-Large ,1,,,,,,,
Virginia, DC Suburbs ,3,,,,,,,
Virginia, Virginia Coast ,5,,,,,,,
Virginia, Western Virginia ,3,,,,,,,
West Virginia, At-Large ,3,,,,,,,
Wisconsin, Milwaukee ,3,,,,,,,
Wisconsin, Northern Wisconsin ,2,,,,,,,
Wisconsin, Central Wisconsin ,3,,,,,,,
Wyoming, At-Large ,1,,,,,,,
Maine, At-Large,2,,,,,,,
Alabama, Northern Alabama,2,,,,,,,
Alabama, Central Alabama,3,,,,,,,
Alabama, Southern Alabama,2,,,,,,,
Indiana, Northern Indiana,3,,,,,,,
Indiana, Central Indiana,3,,,,,,,
Indiana, Southern Indiana,3,,,,,,,
Oklahoma, At-Large,5,,,,,,,
Oregon, Portland and Salem,3,,,,,,,
Oregon, Southern and Eastern Oregon,2,,,,,,,
Tennessee, Central Tennessee,4,,,,,,,
Tennessee, Eastern Tennessee,3,,,,,,,
Tennessee, Memphis and Western Tennessee,2,,,,,,,
Washington, Seattle,5,,,,,,,
Washington, Central Washington,3,,,,,,,
Washington, Eastern Washington,2,,,,,,,
